T,TM,Tm,H,VV,V,VM,PM 2.5
16.1,23.6,10.3,77,1,4.6,16.5,284.79583333333335
15.6,23.6,10.5,83,0.5,5,13,219.72083333333333
15.1,22,10,82,0.6,4.4,11.1,182.1875
13.8,16,12,95,0.6,11.1,18.3,154.03750000000002
15,21,11.4,81,1.1,5.6,13,223.20833333333334
12.6,20.2,7,82,1,6.5,13,200.64583333333337
11.8,19.8,5.3,60,1.3,4.3,14.8,285.22499999999997
12.8,19.5,4.6,62,1.1,5.7,14.8,236.82499999999996
16.3,24,9,47,1.6,6.1,13,276.90833333333336
11.9,20.8,6,72,1,11.1,18.3,108.0
11.3,19.8,6,71,1,9.6,20.6,107.625
13.1,19.8,5,66,1.1,5,11.1,125.89166666666667
19.9,26,13.9,72,1.1,12.2,22.2,181.01250000000005
15.9,26,14,94,0.8,11.1,20.6,152.55416666666667
13.6,19,10,87,0.8,10.6,20.6,152.32083333333335
16.7,23.3,10,77,1,6.3,14.8,319.7375
14.9,22.2,10,79,1.1,5,16.5,332.7083333333333
16.3,24.2,9.4,64,1.6,3.5,11.1,279.59999999999997
17.4,24.8,10.9,68,1.3,5.2,13,179.11666666666667
14.6,22,8,67,2.1,10.7,18.3,54.791666666666664
16.3,23.6,9,60,1.9,6.1,14.8,93.375
15.2,23.6,10,67,1.4,10.6,20.6,103.0
16.6,23.2,9,61,1.8,8.1,22.2,132.20833333333334
16.7,25.2,9,60,1.9,8.5,18.3,127.70833333333333
18.6,27,11,58,2.1,7.6,20.6,109.33333333333333
23.2,31,15,53,2.7,5.6,18.3,56.458333333333336
24.4,32.2,17,48,2.4,8.1,13,135.83333333333334
19.8,26.1,15,67,2.4,8,20.6,122.5
18.9,28,10,42,2.9,12.2,25.9,69.66666666666667
18.8,28,11,47,2.9,9.4,22.2,79.83333333333333
21.2,29.2,11,42,2.9,6.5,14.8,62.708333333333336
24.3,31.6,18.4,45,2.6,8.9,20.6,21.208333333333332
21.9,28.6,16,58,2.4,9.3,16.5,1.9166666666666667
20.4,28.6,13.6,45,3.5,8.1,20.6,1.8333333333333333
22.2,31.4,13,39,2.6,7.6,16.5,105.83333333333333
21.6,28.1,16,50,3.9,12,24.1,117.58333333333333
18.9,29.4,15,65,2.9,12.6,25.9,122.70833333333333
17.4,25,10,44,4.2,8,16.5,111.95833333333333
19.1,26.2,10.4,43,3.5,5.7,14.8,59.208333333333336
20.6,29.2,12,44,3.1,7.6,20.6,77.20833333333333
23.1,30.8,16.8,49,2.9,7.6,20.6,98.70833333333333
22.4,31.4,16,52,2.7,8.1,25.9,123.70833333333333
25.9,34.4,16.4,39,2.9,8.1,18.3,64.79166666666667
26.5,34.7,17,42,3.5,10.9,22.2,52.333333333333336
27.5,36.2,18,39,3.2,12.6,18.3,52.041666666666664
28.6,37.8,19,42,3.4,11.5,22.2,128.33333333333334
31.3,40.2,22.1,35,3.2,8,16.5,0.0
32.2,40.6,22.8,31,3.2,11.1,14.8,23.208333333333332
31.7,39.3,23,29,4.3,10.6,20.6,15.166666666666666
32.2,40,22,27,3.7,8.1,16.5,21.25
28.6,35.6,19,20,2.6,7.6,18.3,81.83333333333333
27.2,35.6,17.4,19,3.4,11.3,16.5,105.33333333333333
27.2,34.1,20.4,17,4.3,15,24.1,117.75
31.9,41,21.2,20,3.4,6.5,14.8,84.5
34.1,43,23.8,20,3.5,5.9,18.3,46.916666666666664
34.2,43,24,19,3.4,8.5,25.9,104.625
33.8,41.4,26,26,3.2,13,27.8,75.58333333333333
31.9,38.4,25.4,28,3.7,12.8,18.3,106.95833333333333
32.1,39,24,26,3.4,13.7,22.2,120.875
31.8,40,24,29,3.5,8.9,25.9,0.0
31.2,38.8,21.3,33,3.4,12.6,27.8,38.5
31.7,39.6,23,23,4.2,5.9,16.5,94.75
33.6,41.4,23,19,3.5,7.8,13,142.5
32.3,41.4,25,27,3.2,12.4,37,133.375
36.6,45.1,26,20,3.7,8.1,18.3,147.83333333333334
36.5,44,28.5,21,3.2,8.3,14.8,158.29166666666666
35.4,44.2,28,29,3.5,12.6,18.3,149.58333333333334
37.1,44,28.5,26,3.4,8.7,18.3,101.5
37.3,44.7,28,22,3.5,8.1,20.6,106.5
37.7,46,29,19,4,10.4,14.8,128.125
33,43,28.8,35,3.4,10.9,27.8,101.95833333333333
34.5,40,29,31,3.4,7.6,22.2,98.41666666666667
31.1,41,26,43,2.7,10.6,20.6,94.375
36.6,43.2,29.4,30,3.5,9.1,16.5,107.625
37.5,45.8,29.7,27,3.7,12.2,27.8,110.41666666666667
34.4,42.1,28,44,4,17.2,25.9,95.83333333333333
28.4,34.6,25,69,3.1,11.7,22.2,72.25
32.7,38.2,25,50,3.4,9.3,20.6,38.666666666666664
35.3,42,26.4,37,3.2,9.6,18.3,45.375
38,44.8,29.6,26,3.7,11.5,20.6,65.16666666666667
31.6,38.5,26.3,48,3.7,15.4,29.4,66.08333333333333
31.3,38,26.6,51,4,10.9,22.2,77.66666666666667
33.2,39.6,27.1,49,3.2,7.6,16.5,70.25
36.3,43,25.6,33,3.5,11.5,27.8,56.291666666666664
33.9,43.4,27.8,36,3.2,12.6,27.8,77.0
33.9,43.4,23,37,3.1,11.9,33.5,32.958333333333336
30.1,38.2,24,70,2.9,13,29.4,80.625
28,33.1,23.8,75,3.2,10.7,22.2,90.70833333333333
28.7,33.4,24.6,74,2.4,10.9,18.3,97.29166666666667
35.6,40,29.8,53,3.5,11.9,18.3,50.708333333333336
34.5,39.7,30.7,60,3.4,11.7,16.5,40.375
35,41.4,28,60,3.4,13.5,22.2,49.416666666666664
29.5,35,24.2,85,2.3,5.4,22.2,61.875
28,30.3,26,90,2.6,9.4,16.5,0.0
31.9,35.2,26.4,74,2.9,7.2,14.8,29.666666666666668
30.9,36.6,25.5,73,3.4,7.4,18.3,49.125
33.4,38.8,27.7,63,3.7,6.9,16.5,43.666666666666664
34.6,39.2,30,55,4.2,11.1,20.6,29.833333333333332
31.2,35.8,25.5,68,4.2,11.3,20.6,35.208333333333336
31.7,35,28.4,70,3.5,12,20.6,37.625
30.8,36,28,76,3.7,12.4,22.2,41.458333333333336
33.8,39,28.6,65,3.1,6.3,14.8,38.583333333333336
29.9,34.4,25,81,3.4,10.4,14.8,36.0
31.7,36.2,28,71,4,13.7,20.6,70.58333333333333
28.7,33.8,26.2,86,2.6,12,16.5,33.166666666666664
31.1,35.8,26.5,74,3.2,9.1,18.3,38.25
31.3,36.3,29,72,3.9,11.3,18.3,26.583333333333332
27.7,31.3,26,94,2.6,6.3,18.3,15.416666666666666
27.8,32.3,26.2,92,2.7,10,18.3,41.375
29.3,31.5,27,82,3.1,10.2,18.3,25.541666666666668
30.1,34.1,26.4,76,3.7,15.7,22.2,28.375
29.4,34,26,84,2.9,5.6,14.8,50.333333333333336
30.2,34,26.6,83,2.6,5.2,18.3,35.375
29.2,32,27,91,2.4,2,16.5,31.916666666666668
30.9,35.4,26.6,70,3.9,12.6,18.3,35.291666666666664
31.5,36,27,67,4,9.8,14.8,26.833333333333332
31.6,36,27,68,4,12.8,16.5,21.125
28.3,29.6,26,89,2.6,11.1,18.3,35.708333333333336
31.1,35.6,26.4,74,4.2,13,18.3,43.583333333333336
31.6,36.6,27.6,74,3.4,12,16.5,46.041666666666664
29.1,34,23.6,82,2.3,6.1,27.8,82.875
28.2,34.2,23.1,83,3.1,5.2,16.5,64.91666666666667
30.1,36.5,24.6,74,3.9,6.9,18.3,30.666666666666668
26.8,32.7,25,95,1.9,9.1,18.3,34.416666666666664
28,32.1,24,86,3.4,10.2,18.3,33.166666666666664
27.5,32.1,25.6,84,3.5,9.8,25.9,30.625
30,35,24.4,76,3.9,8,14.8,30.333333333333332
28.8,33,23.6,81,3.4,7.4,14.8,0.0
30.3,35,25.8,73,3.4,8.3,14.8,0.0
30.9,35,26,71,3.4,7,14.8,0.0
32.1,37.3,27,65,3.5,5.7,14.8,76.875
31.9,36,27.2,67,2.4,5,11.1,83.45833333333333
31.8,37.4,26.6,59,3.7,9.3,18.3,71.66666666666667
