T,TM,Tm,H,VV,V,VM,PM 2.5
12.8,20.2,6,79,0.5,4.8,14.8,255.875
11.7,17.4,8,84,0.6,5.6,11.1,217.08333333333334
10.7,17,6,85,0.5,5.7,11.1,229.16666666666666
12.1,20.4,5.8,68,1.4,10.6,20.6,298.4583333333333
12.3,21.2,5.8,66,1.4,5.7,16.5,264.9166666666667
12.8,21.2,5.7,68,1.1,7.6,18.3,404.5
14.6,23.7,7.3,57,1.6,4.8,51.9,188.5
14.3,24.6,6.9,57,1.8,6.1,16.5,164.75
13.9,22.9,7,61,1.9,11.5,20.6,376.9166666666667
14.9,23,6,76,0.6,8,18.3,0.0
13.2,22.5,7,66,1.4,7.4,20.6,0.0
14.5,24.4,5,54,2.6,4.1,13,57.0
11.6,16.4,8,94,0.5,8.9,16.5,202.91666666666666
11.8,17.6,8.5,88,0.6,5.9,11.1,205.125
12.3,19.2,7,79,0.8,5.7,11.1,214.125
16.8,25,9.9,63,2.1,10.6,24.1,315.7916666666667
18.9,27.2,10.7,57,2.4,5.2,13,322.25
18.1,27.2,11,61,2.1,8,14.8,246.04166666666666
16.3,24.6,10,54,2.3,9.4,14.8,200.91666666666666
15,24,7,51,2.4,8.9,18.3,99.5
14.9,23.6,6.4,52,1.9,4.4,14.8,143.91666666666666
15.6,24.8,7.3,51,2.3,6.3,14.8,100.25
16.9,23.9,10.2,70,2.7,9.3,16.5,165.0
15.3,23.9,8,63,2.7,12,22.2,116.45833333333333
17,24.6,10,66,2.3,13.1,22.2,143.0
18.7,28,10.8,50,2.7,6.5,14.8,231.125
20.4,29.3,11.4,52,2.7,6.3,16.5,218.66666666666666
23.4,32.2,14.4,45,3.1,4.4,13,211.0
22.4,32.4,15,58,2.7,13.1,20.6,52.208333333333336
21,28.4,13.6,59,2.9,13.7,24.1,187.5
22.8,30.2,15,62,2.7,10.2,22.2,130.16666666666666
23.1,30.8,16.2,54,2.6,7.4,14.8,123.125
24.2,32,16.6,52,3.1,5.9,18.3,120.91666666666667
24.8,33.1,17,51,2.7,8.1,14.8,153.625
21.9,30.5,13.4,51,3.2,9.8,22.2,130.33333333333334
24.2,33,14.2,46,2.9,5.2,13,110.70833333333333
24.9,33.1,16.5,45,3.5,9.4,16.5,138.5
27.3,37.5,15,32,3.7,8,18.3,75.75
27.3,34.4,19.8,29,3.7,9.4,16.5,146.54166666666666
25.8,33.1,18.8,42,3.2,10.4,20.6,116.625
25.9,35.5,16.6,38,3.1,7.6,18.3,80.04166666666667
27.8,36.2,17.1,34,2.9,7.2,16.5,100.04166666666667
25.9,33.6,20.8,48,3.5,12,22.2,109.45833333333333
25.9,34.1,17.8,45,3.1,12.8,25.9,110.16666666666667
26.4,35.2,17,39,2.9,8.9,22.2,108.20833333333333
28.7,38.8,17.8,29,3.2,7.8,22.2,103.83333333333333
26.9,35.4,20.2,41,3.5,13.9,18.3,74.29166666666667
28.3,36.2,20.4,42,3.9,10.6,18.3,101.79166666666667
30.2,37.2,22.4,38,3.5,11.5,18.3,106.16666666666667
31.9,40,23.1,38,3.5,9.4,18.3,89.875
28.6,36.2,19.7,47,4,12,22.2,48.208333333333336
29.8,37.8,22.3,44,3.5,15.9,22.2,47.041666666666664
25.8,31.8,20.4,60,3.5,10.2,27.8,67.79166666666667
29.3,37,19,24,3.7,7.8,16.5,56.666666666666664
30.5,38.4,20,25,2.9,9.6,24.1,79.0
32.1,40,22,28,3.2,4.1,13,123.58333333333333
33.3,41,24.6,24,3.7,10.2,22.2,80.29166666666667
33.4,40.2,25,19,3.1,16.5,24.1,137.875
29.1,36.1,22.8,27,2.9,14.8,18.3,87.875
34.7,43.1,22.1,14,3.4,8.7,20.6,121.20833333333333
33.5,41,27.1,39,3.4,15.6,22.2,92.08333333333333
34.6,41.2,28.5,38,2.7,17.4,22.2,105.75
32,38.7,25.6,48,4.2,17.2,25.9,130.625
30.1,39.2,23,49,2.9,17.4,37,90.5
29.6,36.6,21.5,47,3.1,16.3,22.2,55.416666666666664
33.7,41,24.5,29,3.2,11.5,37,108.33333333333333
29.4,36.5,24,38,3.9,11.9,27.8,198.875
29.1,37.9,23,44,3.7,5,37,120.70833333333333
30.7,43.2,23,47,3.5,16.1,46.5,60.541666666666664
30.7,37.6,21.6,45,3.1,10.9,16.5,79.0
32.4,39.7,25,46,3.7,13.5,55.4,133.70833333333334
34.4,42.4,27.1,32,2.6,9.1,18.3,53.25
36.1,42.6,27,18,3.7,11.3,20.6,65.16666666666667
37.3,44.2,27.4,13,3.5,11.5,22.2,83.58333333333333
37.5,45.4,26.7,13,3.7,9.4,22.2,40.666666666666664
38,46.2,27,13,3.1,7.8,14.8,48.125
38.3,45.8,30.8,13,3.7,9.8,18.3,103.16666666666667
37.2,43.6,28.2,33,3.4,12,24.1,143.375
33.9,43.7,27,44,3.1,16.9,37,44.791666666666664
32.8,43.7,25.4,44,3.7,16.7,22.2,71.95833333333333
34.7,41.5,27.3,48,3.5,15.6,24.1,17.5
36.6,42.4,28.8,46,3.1,11.7,16.5,101.0
36.1,42.1,31,51,2.9,16.7,22.2,76.20833333333333
31.4,40.9,23.9,68,2.7,15.2,55.4,84.33333333333333
38.2,42.2,33.3,34,1.6,16.7,29.4,48.833333333333336
37.7,42,31.8,34,1.9,14.6,27.8,64.45833333333333
36.6,41.2,32,37,2.3,14.3,27.8,80.54166666666667
34.3,41.3,26,43,3.2,10.9,22.2,65.41666666666667
36.4,43.2,29.7,38,3.2,10.4,18.3,54.666666666666664
36.8,43.2,31.3,37,2.9,8,16.5,78.54166666666667
36.2,43.6,31,40,3.1,13.9,20.6,49.125
32.6,34.8,29,53,3.2,10.4,21.7,65.875
29.8,38,25.6,78,2.6,12.8,27.8,72.41666666666667
32.3,37,27.9,72,3.1,13.7,27.8,184.66666666666666
31.8,37.7,24,64,3.9,14.1,37,113.33333333333333
32.3,35,30,70,3.5,11.3,16.5,146.20833333333334
34.1,39,28.3,54,3.2,8.7,22.2,112.29166666666667
35.2,41.1,29,51,3.2,7.2,14.8,60.625
34.3,41.1,30,62,3.1,12.4,22.2,71.0
28.8,33.6,26,87,2.9,8,22.2,153.41666666666666
29.3,33.6,25.6,85,2.6,9.4,22.2,134.95833333333334
31.5,36.2,27.2,76,3.5,12.2,20.6,81.125
31.5,38,28,74,2.4,7.4,13,52.25
29.9,33.2,27,83,2.7,6.5,14.8,160.375
29.1,35.2,26.6,87,2.4,7.6,14.8,99.375
29.2,37.8,27,89,3.1,6.7,18.3,31.458333333333332
26.8,28,25.8,99,2.6,10.9,16.5,47.375
26.8,28.2,25.6,98,2.6,10.7,16.5,38.166666666666664
30.1,34.9,23.6,75,3.1,10.7,22.2,35.958333333333336
31.5,35.4,23.4,68,3.2,10.7,18.3,25.083333333333332
31.3,35.6,28,67,3.4,12.2,22.2,45.833333333333336
31,35.8,27.8,65,3.4,13,22.2,33.708333333333336
28.4,33.2,25.9,86,2.6,7.2,16.5,26.416666666666668
30.2,34.2,25.3,82,3.2,8.9,14.8,30.666666666666668
31.7,36.4,27.1,70,3.7,12.2,18.3,29.958333333333332
30.5,34.2,26.1,73,3.7,7.6,14.8,23.875
31.8,35.2,27.4,71,3.5,8,14.8,22.333333333333332
30.8,36.4,27.8,73,2.9,10,18.3,25.083333333333332
29.1,34.2,27.3,88,2.6,4.8,14.8,66.79166666666667
30.1,35.6,27,82,2.6,8.1,20.6,64.875
31.8,37.2,26.4,74,3.4,9.8,20.6,47.583333333333336
29.7,34.9,26.4,76,3.7,12,18.3,33.5
30.9,36.2,26.1,73,3.5,10.9,20.6,43.041666666666664
29.4,36.2,26.2,85,3.4,7.6,11.1,38.416666666666664
31.2,35,27.5,75,3.7,9.4,20.6,49.291666666666664
28.3,31,26,91,2.6,6.3,18.3,19.541666666666668
26.9,29,25,93,2.3,8.7,18.3,22.833333333333332
27.2,30.2,25.4,94,2.1,4.8,16.5,24.291666666666668
27.7,35,24.3,92,2.3,5.2,25.9,74.66666666666667
28.2,32.2,24.8,86,2.7,14.1,24.1,41.875
28.2,32.4,24.3,82,3.7,11.5,22.2,50.583333333333336
29.1,34.2,24,73,4,11.3,22.2,58.125
29.5,35.2,24.5,72,4.2,10.4,18.3,57.291666666666664
30.6,35.2,24.7,63,4.3,11.1,18.3,38.25
30.3,36,24.2,64,3.5,9.1,20.6,47.416666666666664
30.4,36.4,26.4,64,3.1,8.1,13,56.916666666666664
27.9,34.7,23,75,3.9,14.4,22.2,54.625
24.6,27.6,21.6,91,3.2,10.9,18.3,45.958333333333336
27.2,32.4,22,79,3.7,6.5,14.8,52.25
28.7,35,23.1,74,3.7,5,14.8,43.333333333333336
28.8,35.2,22.8,66,3.5,6.7,14.8,41.958333333333336
29.2,36.2,22.9,59,3.2,6.3,14.8,0.0
29.7,36.8,22,56,3.7,4.8,11.1,0.0
27.6,34.6,20,56,3.1,5,14.8,45.75
28.4,35.8,21.2,54,2.9,5.9,14.8,70.70833333333333
28.8,36,21.9,56,3.4,8.1,14.8,51.791666666666664
25.1,31.8,18.2,56,3.4,6.9,18.3,0.0
25.5,33,18,51,3.2,6.9,16.5,11.583333333333334
26.1,34.2,18.6,51,3.1,5.4,11.1,13.0
25.6,33.3,18,53,2.3,6.3,13,156.25
25.3,33.6,18,47,2.6,4.4,11.1,156.0
24.3,33.6,18.2,48,2.9,6.1,14.8,151.79166666666666
24.7,33.4,17.1,51,3.1,4.8,11.1,252.625
24.1,31,17.8,52,2.1,2.6,9.4,119.41666666666667
23.4,32.1,17,57,2.4,2,9.4,126.0
